Line,Context,English,Chinese
482,022:SC#0108,Not even the Long Tapestry.\255\001What kind of glass is it?,
483,022:SC#0108,That chalice you've so irreverently filled\255\001was carved from a single diamond crystal.,
484,022:SC#0108,It was carved from a single crystal of diamond.,
485,022:SC#0108,But I thought you were Glassmakers.,
486,022:SC#0108,"We are, we are. Dear boy, this is none\255\001other than the famous Chromax Conundrum,",
487,022:SC#0108,wrought by our\255\001Distinguished Founder Luscent Bottleblow.,
488,022:SC#0108,"His works once filled an entire museum, you know.",
489,022:SC#0108,That was before the Great Dragon arrived in 7342,
490,022:SC#0108,"She blew through this city like a torch,",
491,022:SC#0108,"melting and breaking our finest works,",
492,022:SC#0108,plundering our museums and treasuries\255\001until we had almost nothing left.,
493,022:SC#0108,"It was awful, just terrible, really a miserable time.",
494,022:SC#0108,"Even Bottleblow's greatest masterpiece,",
495,022:SC#0108,"the First Scrying Sphere, was lost forever.",
496,022:SC#0108,But you still have the Conundrum ^,
497,022:SC#0108,"And a lucky thing, too! It was on loan\255\001to the Guild of Vintners at the time.\255\003It is the sole remaining example\255\001of our founder's transcendent genius",
498,022:SC#0108,"But I'm still curious:\255\001why is it diamond, instead of glass?",
499,022:SC#0108,"We've no idea, no idea at all.",
500,022:SC#0108,"That's the conundrum, you see.",
501,023:OC#0346,"Going somewhere, little wizard?",
502,023:OC#0346,I was better off with the Elders back home!,
503,023:ON#0347,shepherds,
504,023:ON#0348,shepherds,
505,023:ON#0349,shepherds,
506,023:ON#0350,shepherds,
507,023:LS#0202,He's back...,
508,023:LS#0202,So are we...,
509,023:LS#0209,I sure wish I knew a draft\255\001that would work on shepherds..,
510,023:LS#0210, ,
511,023:LS#0210,"Well, that worked!  Funny, I don't feel very scary^",
512,023:LS#0212,Halt!  Who goes?,
513,023:LS#0212,"Well, well, well^",
514,023:LS#0212,^looks like a scrawny runt trying to sneak into our flocks^,
515,023:LS#0212,Sneak?  You call that sneaking?,
516,023:LS#0212,I heard him coming all the way in from town!,
517,023:LS#0212,"Thought you were going to fleece some shepherds, did ya?",
518,023:LS#0212,"Maybe we oughta take the shears to you, instead!",
519,023:LS#0212,Listen^I'm not looking for sheep.,
520,023:LS#0212,Or trouble.,
521,023:LS#0212,I'm looking for a flock of swans.,
522,023:LS#0212,Swans.,
523,023:LS#0212,Swans.,
524,023:LS#0212,You know^,
525,023:LS#0212,^birds^,
526,023:LS#0212,"Oh, SWANS.  Of course.",
527,023:LS#0212,We should have known!,
528,023:LS#0212,Everybody comes here when they want swans!,
529,023:LS#0212,"Next, you'll be telling us that you're some sort of wizard,",
530,023:LS#0212,off to fly away with them birdies!,
531,023:LS#0212,Wizard?,
532,023:LS#0212,Wizard?! You wouldn't happen to be the great wizard,
533,023:LS#0212,"that Fleece was telling us about, would you now?",
534,023:LS#0212,Fleece?,
535,023:LS#0212,He is sort of dressed like a wizard.,
536,023:LS#0212,I don't know.,
537,023:LS#0212,He doesn't look very powerful to me.,
538,023:LS#0212,Me neither.,
539,023:LS#0212,I say we don't let him by until we know for sure.,
540,023:LS#0212,"Come on, then, Wizard, let's see some magic.\255\001OR ELSE.",
541,023:LS#0214,"Come on, lad, he's had enough. Let him go.",
542,023:LS#0214,"Some kind of wizard, eh?",
543,023:LS#0214,"Don't trip on your robe, little wizard!",
544,023:LS#0214,"Get on, ya lazy buncha ewes! Back to work!",
545,023:LS#0231,"Well, that draft didn't seem to do much good.",
546,023:LS#0232,There's nobody better at stealth than us shepherds!,
547,023:LS#0232,"Aye, you'll have to do better than that\255\001to get past us.",
548,024:ON#0358,sheep,
549,024:OC#0358,They're too smart to be so easily scared.,
550,024:OC#0358,"Well, that didn't work.",
551,024:OC#0358,That draft doesn't seem to work on sheep.,
552,024:ON#0359,sheep,
553,024:OC#0359,Fleece was right.  They really are easy to spot.,
554,024:OC#0359,"No, no, that's not right.   They're already white.",
555,024:OC#0359,They're too smart to be so easily scared.,
556,024:OC#0359,"Well, that didn't work.",
557,024:OC#0359,That draft doesn't seem to work on sheep.,
558,024:ON#0360,dozing,
559,024:OC#0360,Poor fella.  He must have had a long night.,
560,024:OC#0360,That's not going to work as long as he's sleeping.,
561,024:OC#0360,"Well, that didn't work.",
562,024:ON#0357,cemetery,
563,024:OC#0357,Some of these graves are really old.,
564,024:OC#0357,I've already done that.,
565,024:OC#0357,That draft doesn't seem to work in cemetaries.,
566,024:LS#0207,"Hey, you!",
567,024:LS#0207,Green Sheep?  Who ever heard of green sheep!,
568,024:LS#0207,How am I supposed to watch sheep\255\001that I can hardly SEE?,
569,024:LS#0207,Get away from here!,
570,024:LS#0207,Now I've got to go and round them all up again.,
571,024:LS#0207,And you'd better not be here when I get back ^,
572,024:LS#0207,Go on now!,
573,024:LS#0211,It's much too green already.,
574,024:LS#0212,"No, no, that's not right.   They're already white.",
575,024:LS#0214,Perhaps I shouldn't try that again ^,
576,025:ON#0373,lamb,
577,025:OC#0373,Perhaps I shouldn't bother her.,
578,025:OC#0373,Perhaps I shouldn't bother her.,
579,025:LS#0204,You've been avoiding my little friend here.,
580,025:LS#0204,You've been avoiding my little friend here.,
581,025:LS#0204,I see you've noticed my little friend.,
582,025:LS#0204,She doesn't look at all well.,
583,025:LS#0204,She isn't.,
584,025:LS#0204,And my Songs of Healing\255\001don't seem to be bringing her much comfort.,
585,025:LS#0204,I wish I were better with them.,
586,025:LS#0205,"Her eyes opened, just a little.  Try it again.",
587,025:LS#0206,Her eyes are closed again.,
588,025:LS#0206,Perhaps I should sing a bit slower ^,
589,025:LS#0206,No. It's no use.,
590,025:LS#0208,"The flock is out to pasture,\255\001you'll find them there.",
591,025:LS#0208,"Go forth, Wizard!\255\001And may you return safely to our fold.",
592,025:SC#0069,Hello there.,
593,025:SC#0069,Who said that?,
594,025:SC#0069,I did.,
595,025:SC#0069,"My name is Fleece, First Chosen of the Guild of Shepherds.",
596,025:SC#0069,I wish we had time to chat awhile\255\001and trade some tales ^ ,
597,025:SC#0069,^ but we've got a serious problem on our hands.,
598,025:SC#0069,What sort of trouble are you having?,
599,025:SC#0069,It seems we've a dragon nearby\255\001who has an enormous appetite for fresh mutton.,
600,025:SC#0069,We breed our sheep for extra whiteness\255\001so we can't keep them on the meadows;,
601,025:SC#0069,she can spot them miles away.,
602,025:SC#0069,"By now, the dragon's carried off so many that\255\001we may not be able to fill the Cleric's order.",
603,025:SC#0069,The Clerics!\255\001I just saw the Bishop at the Glassmakers!,
604,025:SC#0069,Bishop Mandible?  He placed the order for ten thousand sheep.,
605,025:SC#0069,Ten thousand sheep?!\255\001That's enough to feed an army ^,
606,025:SC#0069,"Yes, that had occurred to us too.\255\001You noticed our increased patrol in the forest.",
607,025:SC#0069,We'll deliver the sheep to the clerics if we can\255\001but we won't trust them!,
608,025:SC#0069,I suppose fighting the dragon\255\001would be out of the question.,
609,025:SC#0069,Only a mage can save us.,
610,026:ON#0390,shepherds,
611,026:OC#0390,They never even had a chance.,
612,026:OC#0390,"That wouldn't be very respectful, now, would it?",
613,026:OC#0390,That doesn't seem to be the right draft.,
614,026:LS#0202,Fleece! What became of us?\255\001I was just walking among legions of dead!,
615,026:LS#0202,You were saved by the mercy\255\001of yonder boy.,
616,026:LS#0202,His power is greater than ever\255\001since last we met.,
617,026:LS#0202,"We have not had the chance to thank you properly, Wizard.",
618,026:LS#0202,"But our memories are long,\255\001and we will not forget you soon.",
619,026:LS#0202,Hail and farewell.,
620,026:LS#0202,"Come along, now,\255\001before the Dead Ones return to the harvest!",
621,026:LS#0211,"You are too late, wizard.",
622,026:LS#0211,The Dead have increased their numbers here.,
623,026:LS#0211,Those not dead are suffering.,
624,026:LS#0211,And my songs were again useless.,
625,026:LS#0211,All that's left for us is to put an end to their misery.,
626,028:ON#0392,dragon,
627,028:ON#0393,dragon,
628,028:ON#0394,dragon,
629,028:OC#0394,I guess I've got to wake her up again.,
630,028:ON#0395,dragon,
631,028:OC#0395,I guess I've got to wake her up again.,
632,028:ON#0396,gold,
633,028:ON#0397,gold,
634,028:ON#0398,gold,
635,028:ON#0399,straw,
636,028:ON#0400,straw,
637,028:ON#0401,straw,
638,028:LS#0200,Put it back the way you found it.  NOW.,
639,028:LS#0201,"Thanks, love.",
640,028:LS#0204,Now that looks a lot more comfortable.,
641,028:LS#0206,I thought she'd never get off to sleep.\255\001Chatty Old Firebag.,
642,028:LS#0207,I didn't mean to make her any more awake.,
643,028:LS#0208,I doubt that draft will make her sleep any more deeply.,
644,028:LS#0209,Lovely nap!\255\001But it made me even hungrier ^,
645,028:LS#0210,Yawn!,
646,028:LS#0212,Eeeek! Fire!,
647,028:LS#0215,Eeeek! Fire!,
648,028:LS#0215,Put it out! PUT IT OUT!,
649,028:LS#0215,"That wasn't the least bit funny, young man.",
650,028:LS#0215,We are NOT amused.,
651,028:LS#0216,That's not the right draft for gold.,
652,028:SC#0074,"Well, what 'ave we here?",
653,028:SC#0074,"That's what comes of being in such a blazing hurry, I guess.",
654,028:SC#0074,"I thought you looked a bit scrawny.\255\001Why, you'd hardly make a decent kindling!",
655,028:SC#0075,"Can't take your eyes off me, can you?",
656,028:SC#0075,"Have you no manners, lad?\255\001Stop staring at me!",
657,028:SC#0075,"Oh, was I staring? So sorry.",
658,028:SC#0075,"Oh, don't mind me, love.",
659,028:SC#0075,I get rather crotchety on an empty stomach.,
660,028:SC#0075,"Does that mean you're going to incinerate me, then?",
661,028:SC#0075,Incinerate you?\255\001My! Aren't you the foxy one!,
662,028:SC#0075,I 'aven't created any fire since\255\001my last mating season. And you don't want to know\255\001how many centuries ago that was.,
663,028:SC#0075,"No, no ^\255\001That's much too much heat for me these days.",
664,028:SC#0075,You mean you can't breathe fire?,
665,028:SC#0075,Can't? Let's just say I WON'T.,
666,028:SC#0075,"Just between you and me, love,\255\001the stuff gives me the 'eebie-jeebies.",
667,028:SC#0076,"You 'aven't heard the last of me, you cheeky brat!",
668,028:SC#0109,That's quite a bit of gold you have there.,
669,028:SC#0109,"Oh, that's nothing, compared\255\001to what used to be.",
670,028:SC#0109,"Piled floor to ceiling it was.\255\001Everyone said it was the most beautiful lair anywhere, and\255\001right they were, too.",
671,028:SC#0109,"Then one day, last spring it was, comes along this\255\001third-rate wizard who botched up everything.\255\003He tried to get the volcano to blow,\255\001but only shook up the place in a  huge earthquake instead.",
672,028:SC#0109,"Broke all my fancy glass, mind you,\255\001and made off with most of the gold, too.\255\003The only thing he left me\255\001was a gorgeous glass ball^",
673,028:SC#0109,It's gold again. What useless stuff!,
674,030:OC#0432,It appears I can't get there from here.,
675,031:ON#0449,pool,
676,031:OC#0449,What was I trying to do?  Flood the whole cave?,
677,031:OC#0449,That must not be the right draft.,
678,031:ON#0450,dry hole,
679,031:OC#0450,It's already dry as a bone.,
680,031:OC#0450,It's already dry as a bone.,
681,031:OC#0450,That must not be the right draft.,
682,031:ON#0451,sphere,
683,031:OC#0451,"Spheres work well enough without drafts, remember?",
684,031:LS#0200,My own reflection.,
685,031:SC#0082,Guess I won't be going back that way.,
686,033:ON#0468,cave,
687,033:ON#0470,steps,
688,033:OC#0470,There. That ought to get me across.,
689,033:OC#0470,Repair costs must be spiraling.,
690,033:OC#0470,"Well, that only twisted it even tighter!",
691,033:OC#0470,It's not as though I could untwist them any more.,
692,034:ON#0487,boy@@,
693,034:OC#0487,He's already fast asleep.,
694,034:OC#0487,That didn't help at all.,
695,034:ON#0512,Rusty,
696,034:OC#0512,There's nothing left but bones!,
697,034:OC#0512,"I think I'd rather look like myself, thanks!",
698,034:OC#0512,That's not going to help him now.,
699,034:OC#0512,He's already asleep. Permanently.,
700,034:OC#0512,I guess that draft isn't going to help me here.,
701,034:ON#0488,grave,
702,034:OC#0488,These grave markers are forged from solid bronze!,
703,034:OC#0488,That draft doesn't seem to work in cemetaries.,
704,034:EN#0034,Rusty,
705,034:EN#0034,boy@@,
706,034:LS#0201,"Nice trick, Weaver!",
707,034:LS#0201,Me own mum wouldn't know the difference.,
708,034:LS#0201,"Soft robes, though.\255\003Just the thing for sleeping in. Do you mind, then?",
709,034:LS#0201,"Leave me be, will you?",
710,034:LS#0201,Can't you find somebody else to annoy?,
711,034:LS#0205,I'd better not wander off too far.,
712,034:LS#0207,Not so fast there.  You are not leaving me like this.\255\001I mean it!,
713,034:LS#0207,"Thanks, but no thanks, friend.",
714,034:LS#0207,It was you and your stupid stick that got me into this mess.,
715,034:LS#0209,You did it.,
716,034:LS#0209,You brought me back.,
717,034:LS#0209,"It IS what you wanted, isn't it?",
718,034:LS#0209,"Believe me, being alive is a LOT more fun than being dead.",
719,034:LS#0209,But how did you do it?,
720,034:LS#0209,"Well, healing your body was easy.",
721,034:LS#0209,You're alive because the Pattern is torn\255\001and your soul was free to return to this side.,
722,034:LS#0209,"I must go, Bobbin.",
723,034:LS#0209,I've got to know what happened to the rest of my Guild.,
724,034:LS#0209,And I must do the same.,
725,034:LS#0209,"Good luck, Rusty.  And be careful.",
726,034:LS#0209,"Good fortune to you, too, my friend.",
727,034:LS#0216,Zzzzzz ...,
728,034:LS#0218,I'm not sure I should try that ^,
729,034:SC#0085,"Hullo, there!  What's that? Your music woke me up!",
730,034:SC#0085,"Hullo, there!  What's that? Your music woke me up!",
731,034:SC#0085,"Oh, sorry.",
732,034:SC#0085,Not to worry.  I'm Rusty ^,
733,034:SC#0085,Rusty Nailbender.,
734,034:SC#0085,"I'm Bobbin Threadbare, of the Weavers.",
735,034:SC#0085,"Weavers, eh?",
736,034:SC#0085,Our folk are blacksmiths.,
737,034:SC#0085,"I'm supposed to be getting firewood\255\001for the master, but this plateau's been\255\001picked cleaner than a new blade.",
738,034:SC#0085,Come over here.,
739,034:SC#0085,That's us down there.,
740,034:SC#0085,The Forge - that's what we call it -,
741,034:SC#0085,I've heard you Weavers don't get out much.,
742,034:SC#0085,What's your business here?,
743,034:SC#0085,I've been looking for a flock of swans ^,
744,034:SC#0085,Swans?,
745,034:SC#0085,"No, no swans around here.",
746,034:SC#0085,"Say, all this talk has made me sleepy.",
747,034:SC#0085,"A real pleasure, though.  Let me know if you find your swans.",
748,034:SC#0085,Rusty,
749,034:SC#0088,I don't believe this!\255\001Real nice of that Weaver kid ^,
750,034:SC#0088,Just wait until his turn comes!,
751,034:SC#0088,I'll be waiting for him on the Outside.,
752,034:SC#0088,Back to the Pattern!,
753,034:SC#0088,Pity that poor child had to die for me to return.,
754,034:SC#0088,"Now, where has Bobbin gone?",
755,034:SC#0088,"No, no ^ he couldn't be there.",
756,034:SC#0088,Those Smiths are a suspicious lot.\255\001They'd never let a Weaver inside.,
757,034:SC#0088,"Oh, dear.",
758,034:SC#0088,That means trouble.,
759,034:SC#0098,Rusty?,
760,034:SC#0098,Is that you?  You don't look at all well ^,
761,034:SC#0098,"I'm NOT well. Actually, I'm dead.",
762,034:SC#0098,I don't ^ I don't know what to say.,
763,034:SC#0098,You don't have to say a thing!\255\001What do I matter?\255\001I'm just another one of the Dead.,
764,034:SC#0098,"Oh, Rusty.  I feel terrible. I didn't know ^",
765,034:SC#0098,And that's not even the end of it!,
766,034:SC#0098,"I go Outside to wait for Doomsday like a good little ghost, see.",
767,034:SC#0098,"But no sooner do I get settled again,\255\001but some stupid idiot shreds the universe apart\255\001and hauls us all back Inside!",
768,034:SC#0098,"There are a lot of very\255\001unhappy Dead wandering around here, let me tell you ^",
769,034:SC#0098,I know.  I was there when it happened.,
770,034:SC#0098,I might have known this was all your fault!,
771,034:SC#0098,"No, no!  It wasn't me!  The Bishop managed this one all on his own.",
772,034:SC#0098,"Yeah? Well.  There's going to be hell to pay, literally.",
773,034:SC#0098,There's talk among the Dead that they're going to take over the world.,
774,034:SC#0098,Starting with the Forge.,
775,034:SC#0098,"My home.  Where we used to build strong things, good things ^",
776,034:SC#0112,He's fast asleep.,
777,034:SC#0112,He's fast asleep.,
778,035:ON#0522,gate,
779,035:OC#0522,It's already open.,
780,035:OC#0522,"Well, that draft didn't seem to do much good.",
781,035:ON#0515,gate,
782,035:OC#0515,It's locked.,
783,035:OC#0515,I already closed it.,
784,035:OC#0515,"Well, that didn't work.",
785,035:LS#0204,"Hello, young Nailbender!",
786,035:LS#0204,'Bout time you were comin' home.,
787,035:LS#0204,"Stoke's been lookin' for you,\255\001and he ain't real happy!",
788,035:LS#0204,You better get in there right now.,
789,035:LS#0204,"You still out here, lad?",
790,035:LS#0204,"I wouldn't keep Stoke waiting, if I were you.",
791,035:LS#0204,You better get in there right now.,
792,035:LS#0204,Who keeps closing the blasted gate?,
793,035:LS#0204,Sigh.,
794,035:LS#0204,"I wouldn't keep Stoke waiting, if I were you.",
795,035:LS#0204,Halt! Who are you?,
796,035:LS#0204,Just me. A friendly stranger.,
797,035:LS#0204,"This is a private Guild, my\255\001strange young friend.",
798,035:LS#0204,The gate only opens for members.,
799,035:LS#0204,"Well, well.",
800,035:LS#0204,It's the Friendly Stranger again!,
801,035:LS#0204,I guess I didn't make my point ^,
802,035:LS#0204,This gate is closed.  Do you understand?\255\001CLOSED.  Now GO AWAY.,
803,035:LS#0204,This gate is closed.  Do you understand?\255\001CLOSED.  Now GO AWAY.,
804,035:LS#0204,Sigh.,
805,035:LS#0204,This gate is closed.  Do you understand?\255\001CLOSED.  Now GO AWAY.,
806,037:OC#0527,I probably shouldn't go back there dressed like this.,
807,037:ON#0530,woodbin,
808,037:OC#0530,Not a stick left.,
809,037:OC#0530,Now that's more like it.,
810,037:OC#0530,"No, I think I tried that draft once.",
811,037:OC#0530,"Well, that didn't work.",
812,037:SC#0086,"Well, it's about time, you lazy idiot!",
813,037:SC#0086,"I sent you out FOUR HOURS ago for\255\001 firewood, and you bring me back one scrawny stick?",
814,037:SC#0086,"If your father weren't the foreman, I'd toss YOU in the furnace.",
815,037:SC#0086,You're just lucky he's downstairs with the Bishop right now.,
816,037:SC#0086,"If that fire goes out, and the Clerics' swords \255\001don't get done ^",
817,037:SC#0086,I'm sorry.  I had a bit of trouble ^,
818,037:SC#0086,Perhaps you'd like to offer your confessions to the Bishop in person!,
819,037:SC#0086,I'd be happy to arrange it.\255\001Now give me that stick!,
820,037:SC#0086,"I'm done dealing with the likes of you, Nailbender.",
821,037:SC#0086,I'll be back ^,
822,037:SC#0086,^ and you'd better hope the furnace doesn't go out.,
823,037:SC#0086,What a mess.  I can't do anything without my distaff.,
824,038:ON#0536,straw,
825,038:OC#0536,It's gold again. What useless stuff!,
826,038:OC#0536,No time for another nap.\255\001I've got to get out of here!,
827,038:OC#0536,I've already spun all that.,
828,038:OC#0536,That must not be the right draft.,
829,038:ON#0542,door,
830,038:OC#0542,It's already open.,
831,038:OC#0542,It's already open.,
832,038:OC#0542,That must not be the right draft.,
833,038:ON#0543,door,
834,038:OC#0543,I already closed it.,
835,038:OC#0543,That must not be the right draft.,
836,038:ON#0537,distaff,
837,038:EN#0038,gold@,
838,038:EN#0038,straw,
839,038:LS#0202,straw,
840,038:LS#0202,gold@,
841,038:LS#0204,It's locked.,
842,038:LS#0204,It's locked!  And me with no distaff ^,
843,038:SC#0087,"That straw looks awfully comfortable, though^",
844,038:SC#0087,^must have a sleep draft woven into it^,
845,038:SC#0087,"Tsk, tsk, tsk.",
846,038:SC#0087,"Imagine frightening a poor, defenseless old thing like me! Cor!",
847,038:SC#0087,"Well, I may not be much good with fire, love ^",
848,038:SC#0087,"^ but I still enjoy the taste of tender, firm young meat!",
849,038:SC#0087,One blasted stick of wood left ^\255\001curse that lad ^,
850,038:SC#0087,"Ten thousand swords to forge,\255\001and the furnace is about as cold as my chances for promotion.",
851,038:SC#0087,I don't believe this!\255\001Real nice of that Weaver kid ^,
852,038:SC#0087,Just wait until his turn comes!,
853,038:SC#0087,I'll be waiting for him on the Outside.,
854,038:SC#0087,"Oh, dear.",
855,038:SC#0087,That means trouble.,
856,038:SC#0087,"If Elder Atropos saw his staff treated so\255\001he'd have something to say about it, you could be sure of that!",
857,038:SC#0087,"Careful, now, old bird, let's not singe the feathers^",
858,041:ON#0559,sword,
859,041:OC#0559,It's about time he stopped.\255\001That hammering was making my head hurt.,
860,041:OC#0559,I need to choose my drafts more carefully.,
861,041:ON#0560,sword,
862,041:ON#0558,conversation,
863,041:ON#0557,conversation,
864,041:LS#0204,What?! ^ What evil is this?,
865,041:LS#0204,A witch's curse has twisted the final blade!,
866,041:LS#0204,"A curse, Edgewise? I think not.",
867,041:LS#0204,It would take more than a mere witch's\255\001curse to ruin my plans.,
868,041:LS#0204,"You, there!\255\003Could it be that this little prank is of your doing?",
869,041:LS#0204,"Yes? Well, then. I would be honored to\255\001have you as my guest at the cathedral.",
870,041:LS#0204,I know some other curses that may amuse you^,
871,041:LS#0206, ,
872,041:LS#0210,"The final blade is even\255\001now in the hands of our most skilled bladeshaper, Your Excellency.",
873,041:LS#0210,"How's it coming there, Edgewise?",
874,041:LS#0210,Edgewise! Is that blade not\255\001ready yet? His Excellency is still waiting!,
875,041:LS#0210,"I'm just putting the edge\255\001on the last sword, sir!",
876,041:LS#0210,Good to hear it!,
877,041:LS#0210,"No slacking off, now!",
878,041:LS#0210,Let's get it finished!,
879,041:LS#0210,"You share with me a\255\001historic moment, Foreman.",
880,041:LS#0210,The forging of the ten thousandth\255\001sword marks the end of our preparations.,
881,041:LS#0210,How much longer must I wait?,
882,041:LS#0210,"The steel will ring out it's final defeat, sir.",
883,041:LS#0210,"Not much longer, now!",
884,041:LS#0210,"Very good, then.",
885,041:LS#0210,Carry on!,
886,041:LS#0210,"The metal is proud, sir.\255\001It does not yield easily to my blows.",
887,041:LS#0210,"More sweat will soften it, I trust?",
888,041:LS#0210,It shall be a blade to be reckoned with!,
889,041:LS#0210,\025The Blade of Reckoning.\025,
890,041:LS#0210,It does have a certain\255\001apocalyptic ring to it.,
891,041:LS#0210,I trust I will not be kept\255\001waiting much longer?,
892,041:LS#0210,"Good metal rewards\255\001patience, Exalted One.",
893,041:LS#0210,"And our client rewards\255\001quick service. Now, POUND!",
894,043:ON#0569,cage,
895,043:OC#0569,It's locked.,
896,043:OC#0569,"Well, that didn't work.",
897,043:OC#0569,I need to choose my drafts more carefully.,
898,043:ON#0568,beast,
899,043:OC#0568,She looks hungry.\255\001I think I'll stay out of her way.,
900,043:ON#0566,sphere,
901,043:OC#0566,"Spheres work well enough without drafts, remember?",
902,043:ON#0576,orb,
903,043:ON#0567,Cob,
904,043:OC#0567,"Going somewhere, Weaver boy?",
905,043:OC#0567,"Going somewhere, Weaver boy?",
906,043:SC#0090,I'm getting really tired of this...,
907,043:SC#0090,Allow me to introduce myself.,
908,043:SC#0090,"I am Bishop Mandible, Transultimate Apostle\255\001of the Antisecular Conclave of Clerics.",
909,043:SC#0090,I know.,
910,043:SC#0090,Am I expected to kneel?,
911,043:SC#0090,"Silence, you impudent punk!",
912,043:SC#0090,"This is my assistant, Cob.",
913,043:SC#0090,"Charmed, I'm sure.",
914,043:SC#0090,And you require no introduction.\255\001Your cloak and staff betray your origins.,
915,043:SC#0090,"But I must say, I'm surprised to find you here^",
916,043:SC#0090,It's been quite a long time since any Weaver\255\001bothered to leave that dreary little rock you call home.,
917,043:SC#0090,\025Loom.\025,
918,043:SC#0090,So provincial.\255\003I can't help but wonder what impelled you\255\001to leave it now.,
919,043:SC#0090,His Excellency asked you a question!,
920,043:SC#0090,I know. I'm ignoring it.,
921,043:SC#0090,Ah. Recalcitrance. I see.,
922,043:SC#0090,"Shall I fetch the Instruments of\255\001Persuasion, Master?",
923,043:SC#0090,Please forgive my assistant his^eagerness.\255\001I fear Cob is not very worldly.,
924,043:SC#0090,He does not understand the\255\001dangerous power of a Weaver.,
925,043:SC#0090,Dangerous?,
926,043:SC#0090,Your Reverence^,
927,043:SC#0090,HIM?,
928,043:SC#0090,"Quite dangerous indeed, my dear Cob.",
929,043:SC#0090,"In fact, he could burst this flimsy\255\001iron cage open with hardly a second thought.",
930,043:SC#0090,"That's impossible, Most Exalted One!",
931,043:SC#0090,I inspect the locks personally every fortnight!,
932,043:SC#0090,"Observe and learn, then.",
933,043:SC#0090,"For even now, your prisoner plans his escape.",
934,043:SC#0091,"You see, Cob? An elusive breed,\255\001these Weavers.",
935,043:SC#0091,"Fortunately, however, they are quite helpless\255\001without their weaving sticks.",
936,043:SC#0091,That distaff will NEVER work for you!,
937,043:SC#0091,"Oh, no, my young friend.\255\001You're quite wrong about that.",
938,043:SC#0091,Come. Let me show you why.,
939,043:SC#0091,Consider the common graveyard.,
940,043:SC#0091,"There, the boundary between the\255\001Living and the Dead is ... indistinct.",
941,043:SC#0091,Every graveyard's like that.  So?,
942,043:SC#0091,"Now, imagine what might happen if this\255\001delicate boundary was somehow breached.",
943,043:SC#0091,"\025Torn open,\025 so to speak.",
944,043:SC#0091,It's not that simple.,
945,043:SC#0091,You can't just rip the Pattern\255\001apart like an old rag.,
946,043:SC#0091,"But it IS that simple, my boy. I can.",
947,043:SC#0091,"I have only to lift this rod,\255\001and the legions of the Dead\255\001will stream forth onto the plane of the Living.",
948,043:SC#0091,"A vast army of the Dead,\255\001nourished by the Shepherds' flocks^",
949,043:SC#0091,^armed by the artisanship of the Blacksmiths^,
950,043:SC#0091,^guided by the Glassmakers' Sphere^,
951,043:SC#0091,^all under the spiritual leadership of\255\001one supreme commander^\255\003ME!,
952,043:SC#0091,The final hour is now at hand!,
953,043:SC#0091,The Age of the Clerics is upon us!,
954,043:SC#0091,I have preparations to attend to.,
955,043:SC#0091,Cob -- don't let this boy out of your sight.\255\001He is to touch NOTHING. Do you understand me?,
956,043:SC#0091,"Perfectly, Your Excellence.",
957,043:SC#0091,Lord Mandible. Ruler of the Universe!,
958,043:SC#0091,Mmm ^ I do like the sound of it.,
959,043:SC#0091,I'll have to change my stationery.,
960,043:SC#0091,"You're not so dangerous now, then, are you?",
961,043:SC#0093,Keep away from that!,
962,043:SC#0093,His Eminence said not to touch anything.,
963,043:SC#0093,"I wasn't going to touch it.\255\001Just looking, Cob. That's all.",
964,043:SC#0093,"Just looking, eh? Hmm ...",
965,043:SC#0093,"Well, then.  Perhaps we can do a bit of a trade.",
966,043:SC#0093,How about if I let you look in the Sphere if ^,
967,043:SC#0093,If what?,
968,043:SC#0093,^ well ^ the Legends say that to gaze\255\001upon an uncloaked Weaver brings death.,
969,043:SC#0093,"Naturally, we Clerics aren't given to such\255\001silly superstitions ^ but I'm ^ curious.",
970,043:SC#0093,"Let's answer this one once and\255\001for all, shall we?",
971,043:SC#0093,No ... NO! ... AIEEEEEEEEEEE!,
972,043:SC#0093,May we have some QUIET please?!,
973,043:SC#0093,I can't even begin to invoke the Dead\255\001with all that screaming ^,
974,043:SC#0093,"Well, he can't say he wasn't warned.",
975,044:ON#0579,Mandible,
976,044:SC#0095,I see Cob has been lax in his duty.,
977,044:SC#0095,I see Cob has been lax in his duty.,
978,044:SC#0095,No matter.,
979,044:SC#0095,You're just in time to witness the dawn of a new era.,
980,044:SC#0095,You don't have the slightest idea of what you're doing!!,
981,044:SC#0095,The Pattern is already worn and frayed.,
982,044:SC#0095,"If you rip a hole in it now,",
983,044:SC#0095,the consequences will be beyond anything you can imagine --,
984,044:SC#0095,"Spare me your Weaver mysticism, boy.",
985,044:SC#0095,The time has come when the Dead shall no longer envy the Living!,
986,044:SC#0095,You've torn the Pattern completely open!,
987,044:SC#0095,And with it the eyes of the Dead.,
988,044:SC#0095,BEHOLD!,
989,044:SC#0095,I have a very bad feeling about this^,
990,044:SC#0095,Who dares disturb the peace of Those Who Sleep?,
991,044:SC#0095,"I welcome and greet you, noble spirit.",
992,044:SC#0095,"I am Bishop Mandible, Transultimate Apostle of the Antisecular Conclave of Clerics.",
993,044:SC#0095,And whom have I the honor of summoning?,
994,044:SC#0095,I don't think I want to be part of this conversation...,
995,044:SC#0095,"No one obeyed any summoning of yours, foolish mortal.",
996,044:SC#0095,I have summoned you.,
