Context,"Chinese"
023:LS#0212,"天鵝。"
023:LS#0212,"天鵝。"
023:LS#0212,"你知道^"
023:LS#0212,"^鳥類^"
023:LS#0212,"喔，天鵝。當然。"
023:LS#0212,"我們早該知道的！"
023:LS#0212,"每個人想找天鵝時都會來這裡！"
023:LS#0212,"接下來你是不是要說你是個巫師，"
023:LS#0212,"準備跟那些鳥兒一起飛走！"
023:LS#0212,"巫師？"
023:LS#0212,"巫師？ ！你不會碰巧成為偉大的巫師"
023:LS#0212,"Fleece跟我們提過的那個吧？"
023:LS#0212,"Fleece?"
023:LS#0212,"他的穿著是滿像巫師的。"
023:LS#0212,"我不知道。"
023:LS#0212,"他看起來不怎麼厲害。"
023:LS#0212,"我也是。"
023:LS#0212,"我說在確定之前不讓他過。"
023:LS#0212,"來吧，巫師，讓我們看看你的魔法。\255\001否則。"
023:LS#0214,"算了吧，他受夠了。讓他走。"
023:LS#0214,"什麼巫師嘛，是吧？"
023:LS#0214,"別被長袍絆倒了，小巫師！"
023:LS#0214,"快點，你們這群懶羊！回去工作！"
023:LS#0231,"那個織法似乎沒什麼用。"
023:LS#0232,"沒有人比我們牧羊人更擅長隱蔽了！"
023:LS#0232,"沒錯，你得做得更好\255\001才能通過我們這關。"
024:ON#0358,"羊"
024:OC#0358,"牠們太聰明了，沒那麼容易被嚇到。"
024:OC#0358,"嗯，沒用。"
024:OC#0358,"那織法對羊似乎沒用。"
024:ON#0359,"羊"
024:OC#0359,"Fleece是對的。牠們真的很顯眼。"
024:OC#0359,"不，不，那不對。牠們已經是白色的了。"
024:OC#0359,"牠們太聰明了，沒那麼容易被嚇到。"
024:OC#0359,"嗯，沒用。"
024:OC#0359,"那織法對羊似乎沒用。"
024:ON#0360,"打瞌睡"
024:OC#0360,"可憐的傢伙。他昨晚一定很漫長。"
024:OC#0360,"只要他在睡覺，那就不會有用。"
024:OC#0360,"嗯，沒用。"
024:ON#0357,"墓園"
024:OC#0357,"這裡有些墳墓真的很舊。"
024:OC#0357,"我已經做過了。"
024:OC#0357,"那個織法在墓園似乎沒用。"
024:LS#0207,"嘿，你！"
024:LS#0207,"綠色的羊？誰聽過綠色的羊！"
024:LS#0207,"我怎麼看守\255\001幾乎看不見的羊？"
024:LS#0207,"滾開！"
024:LS#0207,"現在我得去把它們全趕回來。"
024:LS#0207,"等我回來時你最好不在這裡 ^"
024:LS#0207,"快走！"
024:LS#0211,"已經太綠了。"
024:LS#0212,"不，不，那不對。牠們已經是白色的了。"
024:LS#0214,"也許我不該再試^"
025:ON#0373,"小羊"
025:OC#0373,"也許我不該打擾她。"
025:OC#0373,"也許我不該打擾她。"
025:LS#0204,"你一直在躲避我的小夥伴。"
025:LS#0204,"你一直在躲避我的小夥伴。"
025:LS#0204,"看來你注意到我的小夥伴了。"
025:LS#0204,"她看起來一點也不好。"
025:LS#0204,"她不好。"
025:LS#0204,"而我的治癒之歌\255\001似乎沒有帶給她多少安慰。"
025:LS#0204,"我真希望我更擅長唱歌。"
025:LS#0205,"她的眼睛張開了一點。再試一次。"
025:LS#0206,"她的眼睛又閉上了。"
025:LS#0206,"也許我該唱慢一點 ^"
025:LS#0206,"不。沒用的。"
025:LS#0208,"羊群正在吃草，\255\001你可以在那找到牠們。"
025:LS#0208,"去吧，巫師！\255\001願你平安歸來。"
025:SC#0069,"你好啊。"
025:SC#0069,"誰說話？"
025:SC#0069,"是我。"
025:SC#0069,"我是Fleece，牧羊人公會的首選。"
025:SC#0069,"我希望我們有時間聊聊\255\001並交換些故事 ^ "
025:SC#0069,"^ 但我們手頭上有個大麻煩。"
025:SC#0069,"你們遇到什麼麻煩了？"
025:SC#0069,"附近似乎有條龍，\255\001她對新鮮羊肉有著驚人的胃口。"
025:SC#0069,"我們為了讓羊更白而繁殖牠們，\255\001所以不能把牠們留在草地上；"
025:SC#0069,"她在幾英里外就能發現牠們。"
025:SC#0069,"現在，龍已經抓走太多羊了，\255\001我們可能無法完成神職者的訂單。"
025:SC#0069,"神職者！\255\001我剛在玻璃匠那看到主教！"
025:SC#0069,"Mandible主教？他訂了一萬隻羊。"
025:SC#0069,"一萬隻羊？！\255\001那夠養活一支軍隊了 ^"
025:SC#0069,"是啊，我們也想到了。\255\001你注意到我們增加了森林巡邏。"
025:SC#0069,"如果可以我們會把羊交給神職者\255\001但我們不會信任他們！"
025:SC#0069,"我想對付那條龍\255\001是不可能的了。"
025:SC#0069,"只有法師能救我們。"
026:ON#0390,"牧羊人"
026:OC#0390,"他們甚至連機會都沒有。"
026:OC#0390,"那不是很尊重，不是嗎？"
026:OC#0390,"這似乎不是正確的草案。"
026:LS#0202,"羊毛！我們變成了什麼樣子？\255\001我只是行走在死亡軍團之中！"
026:LS#0202,"你因憐憫而得救\255\001那邊男孩的。"
026:LS#0202,"他的力量比以往任何時候都更\255\001自從我們上次見面以來。"
026:LS#0202,"我們還沒有機會好好感謝你，巫師。"
026:LS#0202,"但我們的記憶很長\255\001我們不會很快忘記你。"
026:LS#0202,"冰雹和告別。"
026:LS#0202,"快來吧，現在，\255\001在死者回收穫之前！"
026:LS#0211,"你來得太晚了，巫師。"
026:LS#0211,"死者在這裡的數量增加了。"
026:LS#0211,"那些沒有死的人正在受苦。"
026:LS#0211,"我的歌又沒用了。"
026:LS#0211,"我們剩下的就是結束他們的痛苦。"
028:ON#0392,"龍"
028:ON#0393,"龍"
028:ON#0394,"龍"
028:OC#0394,"我想我必須再次叫醒她。"
028:ON#0395,"龍"
028:OC#0395,"我想我必須再次叫醒她。"
028:ON#0396,"金子"
028:ON#0397,"金子"
028:ON#0398,"金子"
028:ON#0399,"稻草"
028:ON#0400,"稻草"
028:ON#0401,"稻草"
028:LS#0200,"將其放回原來的樣子。  現在。"
028:LS#0201,"謝謝，親愛的"
028:LS#0204,"現在看起來舒服多了。"
028:LS#0206,"我以為她永遠也睡不著了。\255\001健談的老消防員。"
028:LS#0207,"I didn't mean to make her any more awake."
028:LS#0208,"我懷疑吃風會讓她睡得更深。"
028:LS#0209,"可愛的小睡！\255\001但這讓我更餓了^"
028:LS#0210,"打哈"
028:LS#0212,"哎呀！火！"
028:LS#0215,"哎呀！火！"
028:LS#0215,"放出來吧！把它拿出來！"
028:LS#0215,"這一點都不好笑，年輕人。"
028:LS#0215,"我們不覺得好笑。"
028:LS#0216,"這不是黃金的正確選擇。"
028:SC#0074,"好吧，我們這裡有什麼？"
028:SC#0074,"我想這就是如此匆忙的結果。"
028:SC#0074,"我覺得你看起來有點骨瘦如柴。\255\001哎呀，你很難做一個像樣的引火物！"
028:SC#0075,"你的目光無法從我身上移開，好嗎？"
028:SC#0075,"小伙子，你沒有禮貌嗎？\255\001別再盯著我看了！"
028:SC#0075,"哦，我是在盯著看嗎？很抱歉。"
028:SC#0075,"哦，別介意我，親愛的。"
028:SC#0075,"我空腹時會變得很暴躁。"
028:SC#0075,"那是不是代表你要燒死我？"
028:SC#0075,"燒死你？\255\001我的！你不就是那個狡猾的人嗎！"
028:SC#0075,"從那以後我就沒有生過任何火\255\001我的最後一個交配季節。而你不想知道\255\001那是多少個世紀前的事了。"
028:SC#0075,"不，不^\255\001這些天對我來說太熱了。"
028:SC#0075,"你的意思是說你不能噴火？"
028:SC#0075,"不能？就說我不會吧。"
028:SC#0075,"就在你我之間，親愛的，\255\001這些東西讓我感到「eebie-jeebies」。"
028:SC#0076,"你還沒聽到我最後一句話呢，你這個厚臉皮的小子！"
028:SC#0109,"你那裡有相當多的黃金。"
028:SC#0109,"哦，相較之下，這不算什麼\255\001到過去的樣子。"
028:SC#0109,"從地板到天花板都是堆起來的。\255\001每個人都說這是世界上最美麗的巢穴，\255\001沒錯，他們也是。"
028:SC#0109,"然後有一天，去年春天，出現了這個\255\001搞砸了一切的三流巫師。\255\003他試圖讓火山爆發，\255\001但只是發生了一場大地震。"
028:SC#0109,"請注意，打破了我所有精美的玻璃，\255\001並搶走了大部分黃金。\255\003他留給我的唯一的東西\255\001是華麗的玻璃球^"
028:SC#0109,"又是金子了什麼無用的東西！"
030:OC#0432,"看來我無法從這裡到達那裡。"
031:ON#0449,"水池"
031:OC#0449,"我想做什麼？  淹沒整個山洞？"
031:OC#0449,"那肯定不是正確的織法。"
031:ON#0450,"乾洞"
031:OC#0450,"已經乾得像骨頭了。"
031:OC#0450,"已經乾得像骨頭了。"
031:OC#0450,"那肯定不是正確的織法。"
031:ON#0451,"法球"
031:OC#0451,"球體在沒有氣流的情況下也能很好地工作，還記得嗎？"
031:LS#0200,"我自己的反思。"
031:SC#0082,"我想我不會再那樣回去了。"
033:ON#0468,"洞穴"
033:ON#0470,"步驟"
033:OC#0470,"那裡。這應該能讓我明白。"
033:OC#0470,"維修成本必定呈螺旋式上升。"
033:OC#0470,"好吧，這只會讓事情變得更緊！"
033:OC#0470,"好像我再也無法解開它們了。"
034:ON#0487,"男生@"
034:OC#0487,"他已經睡得很熟了。"
034:OC#0487,"那一點幫助也沒有。"
034:ON#0512,"生鏽"
034:OC#0512,"除了骨頭什麼都沒有了！"
034:OC#0512,"我想我寧願看起來像我自己，謝謝！"
034:OC#0512,"現在這對他沒有幫助。"
034:OC#0512,"他已經睡著了。永久地。"
034:OC#0512,"我想織法在這裡幫不上忙。"
034:ON#0488,"墳墓"
034:OC#0488,"這些墓碑由實心青銅鍛造而成！"
034:OC#0488,"那個織法在墓園似乎沒用。"
034:EN#0034,"生鏽"
034:EN#0034,"男生@"
034:LS#0201,"好技巧，韋弗！"
034:LS#0201,"我自己的媽媽不會知道其中的差別。"
034:LS#0201,"不過，柔軟的長袍。\255\003只是用來睡覺的東西。那你介意嗎？"
034:LS#0201,"讓我這樣吧，好嗎？"
034:LS#0201,"你就不能找個人來煩嗎？"
034:LS#0205,"我最好別走太遠。"
034:LS#0207,"那裡沒那麼快。  你不會就這樣離開我。\255\001我是認真的！"
034:LS#0207,"謝謝，但不用了，朋友。"
034:LS#0207,"是你和你那愚蠢的棍子讓我陷入了困境。"
034:LS#0209,"你做到了。"
034:LS#0209,"你把我帶回來了。"
034:LS#0209,"這就是你想要的，不是嗎？"
034:LS#0209,"相信我，活著比死了有趣多了。"
034:LS#0209,"但你是怎麼做到的呢？"
034:LS#0209,"嗯，治癒你的身體很容易。"
034:LS#0209,"你還活著，因為織圖被撕裂了\255\001你的靈魂可以自由地回到這一邊。"
034:LS#0209,"我必須走了，鮑賓。"
034:LS#0209,"我必須知道我的公會其他成員發生了什麼事。"
034:LS#0209,"我也必須這樣做。"
034:LS#0209,"祝你好運，魯斯蒂。  並且要小心。"
034:LS#0209,"我的朋友，也祝你好運。"
034:LS#0216,"茲茲茲茲.."
034:LS#0218,"我不確定我是否應該嘗試一下^"
034:SC#0085,"哈嘍，那裡！  那是什麼？你的音樂喚醒了我！"
034:SC#0085,"哈嘍，那裡！  那是什麼？你的音樂喚醒了我！"
034:SC#0085,"哦，抱歉。"
034:SC#0085,"不用擔心。  我生鏽了^"
034:SC#0085,"生鏽的釘釘器。"
034:SC#0085,"我是織布工的梭賓‧斯萊巴雷。"
034:SC#0085,"織布工，是嗎"
034:SC#0085,"我們的人民是鐵匠。"
034:SC#0085,"我應該去撿柴火\255\001對主人來說，但這個高原已經\255\001挑選的刀片比新刀片更乾淨。"
034:SC#0085,"過來吧。"
034:SC#0085,"那就是我們下面的人。"
034:SC#0085,"熔爐——我們就是這麼稱呼它的——"
034:SC#0085,"我聽說你們織工不常出去。"
034:SC#0085,"你來這裡做什麼？"
034:SC#0085,"我一直在尋找一群天鵝^"
034:SC#0085,"天鵝？"
034:SC#0085,"不，這附近沒有天鵝。"
034:SC#0085,"話說，這些談話讓我昏昏欲睡。"
034:SC#0085,"不過，這確實是一種樂趣。  如果你找到你的天鵝請告訴我。"
034:SC#0085,"生鏽"
034:SC#0088,"我不相信這個！\255\001織布小子真是太好了^"
034:SC#0088,"就等著輪到他吧！"
034:SC#0088,"我會在外面等他。"
034:SC#0088,"回到模式！"
034:SC#0088,"可惜那個可憐的孩子必須死才能讓我回來。"
034:SC#0088,"現在，鮑賓去哪了？"
034:SC#0088,"不，不^他不能在那裡。"
034:SC#0088,"那些史密斯夫婦是一群可疑的人。\255\001他們永遠不會讓韋弗進來。"
034:SC#0088,"哦親愛的"
034:SC#0088,"那意味著麻煩。"
034:SC#0098,"生鏽了"
034:SC#0098,"那是你嗎？  你看起來不太好^"
034:SC#0098,"我不太好。事實上，我已經死了。"
034:SC#0098,"我不知道^我不知道該說什麼。"
034:SC#0098,"你什麼都不用說！\255\001我有什麼關係？\255\001我只是另一位死者。"
034:SC#0098,"哦，魯斯蒂。  我感覺很糟。我不知道^"
034:SC#0098,"這還沒結束！"
034:SC#0098,"我像個善良的小幽靈一樣到外面等待世界末日，瞧。"
034:SC#0098,"但當我重新安頓好後\255\001但一些愚蠢的白痴將宇宙撕碎\255\001並把我們全部拉回裡面！"
034:SC#0098,"有很多非常\255\001不快樂的死者在這裡徘徊，讓我告訴你^"
034:SC#0098,"我知道。  事情發生時我就在場。"
034:SC#0098,"我可能就知道這都是你的錯！"
034:SC#0098,"不，不！  不是我！  主教獨自完成了這一切。"
034:SC#0098,"是的？出色地。  從字面上看，付出的代價將是地獄般的。"
034:SC#0098,"死者之間有傳言說他們將接管世界。"
034:SC#0098,"從熔爐開始。"
034:SC#0098,"我的家。  我們曾經在那裡建造強大的東西，美好的東西^"
034:SC#0112,"他睡熟了。"
034:SC#0112,"他睡熟了。"
035:ON#0522,"門"
035:OC#0522,"它已經開了！"
035:OC#0522,"那個織法似乎沒什麼用。"
035:ON#0515,"門"
035:OC#0515,"它被鎖了。"
035:OC#0515,"我已經關上它了。"
035:OC#0515,"嗯，沒用。"
035:LS#0204,"你好，年輕的釘甲師！"
035:LS#0204,"“你該回家了。”"
035:LS#0204,"斯托克城一直在尋找你\255\001他其實並不快樂！"
035:LS#0204,"你最好現在就進去。"
035:LS#0204,"你還在外面嗎，小伙子？"
035:LS#0204,"如果我是你，我不會讓斯托克等你。"
035:LS#0204,"你最好現在就進去。"
035:LS#0204,"是誰一直關著那扇該死的大門？"
035:LS#0204,"嘆。"
035:LS#0204,"如果我是你，我不會讓斯托克等你。"
035:LS#0204,"停止！你是誰？"
035:LS#0204,"只有我。一個友善的陌生人。"
035:LS#0204,"這是一個私人公會，我的\255\001奇怪的年輕朋友。"
035:LS#0204,"大門只對會員開放。"
035:LS#0204,"好吧，好吧"
035:LS#0204,"又是友善的陌生人！"
035:LS#0204,"我想我沒有表達我的意思^"
035:LS#0204,"這扇門是關閉的。  你明白嗎？\255\001關閉。  現在走開。"
035:LS#0204,"這扇門是關閉的。  你明白嗎？\255\001關閉。  現在走開。"
035:LS#0204,"嘆。"
035:LS#0204,"這扇門是關閉的。  你明白嗎？\255\001關閉。  現在走開。"
037:OC#0527,"我可能不應該穿著這樣的衣服回去。"
037:ON#0530,"木箱"
037:OC#0530,"一根棍子都沒有剩"
037:OC#0530,"現在更像是這樣了。"
037:OC#0530,"不，我想我曾經嘗試過那份草稿。"
037:OC#0530,"嗯，沒用。"
037:SC#0086,"好吧，是時候了，你這個懶惰的白痴！"
037:SC#0086,"我四小時前就派你出去了\255\001柴火，你帶回來一根瘦骨嶙峋的木棍給我？"
037:SC#0086,"如果你父親不是工頭，我就把你丟進爐子裡。"
037:SC#0086,"你很幸運他現在和主教一起在樓下。"
037:SC#0086,"如果火熄滅了，牧師的劍\255\001別完成^"
037:SC#0086,"對不起。  我遇到了一點麻煩^"
037:SC#0086,"也許您想親自向主教懺悔！"
037:SC#0086,"我很樂意安排。\255\001現在把那根棍子給我！"
037:SC#0086,"我受夠了像你這樣的人，釘子匠。"
037:SC#0086,"我會回來的^"
037:SC#0086,"^ 你最好希望爐子不會熄滅。"
037:SC#0086,"真是一團糟。  沒有我的手下我什麼都做不了。"
038:ON#0536,"稻草"
038:OC#0536,"又是金子了什麼無用的東西！"
038:OC#0536,"沒有時間再睡午覺了。\255\001我必須離開這裡！"
038:OC#0536,"我已經把這一切都轉完了。"
038:OC#0536,"那肯定不是正確的織法。"
038:ON#0542,"門"
038:OC#0542,"它已經開了！"
038:OC#0542,"它已經開了！"
038:OC#0542,"那肯定不是正確的織法。"
038:ON#0543,"門"
038:OC#0543,"我已經關上它了。"
038:OC#0543,"那肯定不是正確的織法。"
038:ON#0537,"織杖"
038:EN#0038,"金子"
038:EN#0038,"稻草"
038:LS#0202,"稻草"
038:LS#0202,"金子"
038:LS#0204,"它被鎖了。"
038:LS#0204,"它被鎖了！  而我則毫無顧忌^"
038:SC#0087,"不過那根吸管看起來很舒服^"
038:SC#0087,"^必須織入睡眠通風^"
038:SC#0087,"嘖嘖嘖。"
038:SC#0087,"想像我這樣可憐、手無寸鐵的老東西會受到驚嚇吧！科爾！"
038:SC#0087,"好吧，我可能不太擅長用火，親愛的^"
038:SC#0087,"^ 但我還是很喜歡嫩嫩緊實的嫩肉的味道！"
038:SC#0087,"剩下一根被炸毀的木頭^\255\001詛咒那個小伙子^"
038:SC#0087,"萬劍待鑄，\255\001熔爐的溫度與我升遷的機會一樣冷。"
038:SC#0087,"我不相信這個！\255\001織布小子真是太好了^"
038:SC#0087,"就等著輪到他吧！"
038:SC#0087,"我會在外面等他。"
038:SC#0087,"哦親愛的"
038:SC#0087,"那意味著麻煩。"
038:SC#0087,"如果阿特羅波斯長老看到他的員工受到如此對待\255\001他對此有話要說，你可以肯定這一點！"
038:SC#0087,"小心點，老鳥，別把羽毛燒焦了^"
041:ON#0559,"劍"
041:OC#0559,"他是時候停下來了。\255\001那錘子敲得我頭痛。"
041:OC#0559,"我必須更謹慎選擇織法。"
041:ON#0560,"劍"
041:ON#0558,"對話"
041:ON#0557,"對話"
041:LS#0204,"什麼？ ！ ^ 這是什麼邪惡？"
041:LS#0204,"女巫的詛咒扭曲了最後的劍！"
041:LS#0204,"詛咒，Edgewise？我認為不是。"
041:LS#0204,"這需要的不僅僅是女巫的力量\255\001詛咒破壞我的計劃。"
041:LS#0204,"你在那裡！\255\003難道這個小惡作劇是你幹的嗎？"
041:LS#0204,"是的？好吧，那麼。我將很榮幸\255\001請你作為我在大教堂的客人。"
041:LS#0204,"我還知道一些其他的咒語可能會讓你覺得有趣^"
041:LS#0210,"最後的刀片是均勻的\255\001現在交到了我們最熟練的刀片成型師閣下手中。"
041:LS#0210,"那裡怎麼樣，Edgewise？"
041:LS#0210,"沿邊！那把刀不是嗎\255\001準備好了嗎？陛下還在等待！"
041:LS#0210,"我只是把邊緣\255\001最後一劍，先生！"
041:LS#0210,"很高興聽到它！"
041:LS#0210,"現在不能鬆懈！"
041:LS#0210,"讓我們把它完成吧！"
041:LS#0210,"你與我分享一個\255\001歷史性的時刻，福爾曼。"
041:LS#0210,"萬分之一的鍛造\255\001劍標誌著我們準備工作的結束。"
041:LS#0210,"我還要等多久？"
041:LS#0210,"鋼鐵將宣告它的最終失敗，長官。"
041:LS#0210,"不多時了，現在！"
041:LS#0210,"那麼很好。"
041:LS#0210,"繼續！"
041:LS#0210,"金屬很自豪，先生。\255\001它不會輕易屈服於我的打擊。"
041:LS#0210,"更多的汗水會軟化它，我相信嗎？"
041:LS#0210,"這將是一把不可忽視的刀片！"
041:LS#0210,"\025清算之刃。\025"
041:LS#0210,"它確實有一定的\255\001世界末日的戒指。"
041:LS#0210,"我相信我不會被保留\255\001還要等更長的時間嗎？"
041:LS#0210,"良好的金屬獎勵\255\001耐心等待，尊者。"
041:LS#0210,"以及我們的客戶獎勵\255\001快速的服務。現在，磅！"
043:ON#0569,"籠"
043:OC#0569,"它被鎖了。"
043:OC#0569,"嗯，沒用。"
043:OC#0569,"我必須更謹慎選擇織法。"
043:ON#0568,"獸"
043:OC#0568,"她看起來很餓。\255\001我想我會遠離她。"
043:ON#0566,"法球"
043:OC#0566,"球體在沒有氣流的情況下也能很好地工作，還記得嗎？"
043:ON#0576,"球"
043:ON#0567,"科"
043:OC#0567,"要去什麼地方嗎，織布男孩？"
043:OC#0567,"要去什麼地方嗎，織布男孩？"
043:SC#0090,"我真的厭倦了這個..."
043:SC#0090,"請容許我自我介紹一下。"
043:SC#0090,"我是下顎主教，終極使徒\255\001神職人員反世俗秘密會議的成員。"
043:SC#0090,"我知道"
043:SC#0090,"難道我要跪下嗎？"
043:SC#0090,"安靜，你這個無禮的小混混！"
043:SC#0090,"這是我的助手，科布。"
043:SC#0090,"我確信，很著迷。"
043:SC#0090,"而且你不需要介紹。\255\001你的斗篷和手杖背叛了你的出身。"
043:SC#0090,"但我必須說，我很驚訝在這裡找到你^"
043:SC#0090,"已經有很長一段時間沒有織布工了\255\001不厭其煩地離開那塊你稱之為家的沉悶的小石頭。"
043:SC#0090,"\025織布\025"
043:SC#0090,"如此省級。\255\003我忍不住想知道是什麼促使你\255\001現在就離開它。"
043:SC#0090,"閣下問你一個問題！"
043:SC#0090,"我知道。我忽略它。"
043:SC#0090,"啊。頑抗。我懂了。"
043:SC#0090,"我可以去拿以下的儀器嗎\255\001大師勸說？"
043:SC#0090,"請原諒我的助手的熱心。\255\001我擔心科布不太世故。"
043:SC#0090,"他不明白\255\001編織者的危險力量。"
043:SC#0090,"危險的？"
043:SC#0090,"尊敬的閣下^"
043:SC#0090,"他？"
043:SC#0090,"確實很危險，我親愛的科布。"
043:SC#0090,"事實上，他可以打破這個脆弱\255\001鐵籠毫不猶豫地打開了。"
043:SC#0090,"這是不可能的，至尊！"
043:SC#0090,"我每兩週親自檢查一次鎖！"
043:SC#0090,"那就觀察、學習吧。"
043:SC#0090,"即使現在，你的囚犯也在計畫逃跑。"
043:SC#0091,"你看到了嗎，科布？一個難以捉摸\255\001這些織者。"
043:SC#0091,"不過幸運的是，他們也很無助\255\001沒有他們的編織棒。"
043:SC#0091,"那個員工永遠不會為你工作！"
043:SC#0091,"哦，不，我的年輕朋友。\255\001你這一點就大錯特錯了。"
043:SC#0091,"來。讓我告訴你原因。"
043:SC#0091,"考慮一下常見的墓地。"
043:SC#0091,"在那裡，之間的邊界\255\001生與死是……模糊不清的。"
043:SC#0091,"每個墓地都是這樣。  所以？"
043:SC#0091,"現在，想像一下如果這會發生什麼\255\001微妙的界線不知何故被打破了。"
043:SC#0091,"\025撕開，\025可以這麼說。"
043:SC#0091,"事情沒那麼簡單。"
043:SC#0091,"你不能只是撕毀模式\255\001像一塊舊抹布一樣分開。"
043:SC#0091,"但這就是這麼簡單，我的孩子。我可以。"
043:SC#0091,"我只要舉起這根桿子，\255\001和亡靈軍團\255\001將流向生者的位面。"
043:SC#0091,"龐大的亡靈大軍，\255\001由牧羊人的羊群滋養^"
043:SC#0091,"^由鐵匠的手藝武裝^"
043:SC#0091,"^由玻璃製造商領域指導^"
043:SC#0091,"^一切都在精神領導下\255\001一位最高指揮官^\255\003我！"
043:SC#0091,"最後的時刻即將來臨！"
043:SC#0091,"牧師的時代即將來臨！"
043:SC#0091,"我有準備工作要參加。"
043:SC#0091,"科布——別讓這個男孩離開你的視線。\255\001他不能碰任何東西。你了解我嗎？"
043:SC#0091,"完美，您的卓越。"
043:SC#0091,"下顎勳爵。宇宙的主宰！"
043:SC#0091,"嗯 ^ 我確實喜歡它的聲音。"
043:SC#0091,"我得換一下我的文具了。"
043:SC#0091,"那你現在沒那麼危險了，是嗎？"
043:SC#0093,"遠離那個！"
043:SC#0093,"陛下吩咐不要碰任何東西。"
043:SC#0093,"我本來不想碰它的。\255\001只是看看，科布。就這樣。"
043:SC#0093,"只是看看，嗯？唔 ..."
043:SC#0093,"好吧，那麼。  也許我們可以做一點交易。"
043:SC#0093,"如果我讓你看看球體怎麼樣^"
043:SC#0093,"如果什麼"
043:SC#0093,"^ 嗯 ^ 傳說中說凝視\255\001降臨在不穿斗篷的編織者身上會帶來死亡。"
043:SC#0093,"當然，我們神職人員不喜歡這樣\255\001愚蠢的迷信^但我很好奇。"
043:SC#0093,"我們來回答這個問題一次\255\001為了所有人，我們可以嗎？"
043:SC#0093,"不不！...AIEEEEEEEEEEE！"
043:SC#0093,"我們可以安靜一下嗎？"
043:SC#0093,"我甚至無法開始召喚死者\255\001伴隨著所有的尖叫^"
043:SC#0093,"好吧，他不能說他沒有受到警告。"
044:ON#0579,"下顎骨"
044:SC#0095,"我發現科布的職責很鬆懈。"
044:SC#0095,"我發現科布的職責很鬆懈。"
044:SC#0095,"不管。"
044:SC#0095,"您正好見證了新時代的黎明。"
044:SC#0095,"你根本不知道自己在做什麼！ ！"
044:SC#0095,"織圖已經磨損。"
044:SC#0095,"如果你現在在上面撕開一個洞"
044:SC#0095,"後果將超乎你的想像——"
044:SC#0095,"孩子，別再用你的韋弗神秘主義了。"
044:SC#0095,"死者不再嫉妒生者的時刻已經到來！"
044:SC#0095,"你已經把織圖完全撕開了！"
044:SC#0095,"還有死者的眼睛。"
044:SC#0095,"看哪！"
044:SC#0095,"我有一種很不好的預感^"
044:SC#0095,"誰敢擾亂沉睡者的安寧？"
044:SC#0095,"我歡迎並問候你，高貴的靈魂。"
044:SC#0095,"我是曼迪布爾主教，反世俗神職人員秘密會議的最終使徒。"
044:SC#0095,"我有幸召喚誰？"
044:SC#0095,"我想我不想參與這個對話......"
044:SC#0095,"沒有人聽從你的任何召喚，愚蠢的凡人。"
044:SC#0095,"我已經召喚你了。"
044:SC#0095,"我是喬阿斯"
044:SC#0095,"你只是打開了門，我就進去了。\255\003為此，你將得到獎勵。"
044:SC#0095,"現在就加入我吧"
044:SC#0095,"——身為我的奴"
044:SC#0095,"我發現距離上次訪問已經過太久了…"
045:ON#0582,"織杖"
045:OC#0582,"看來這個東西是抓不住了。"
045:ON#0583,"?"
045:SC#0096,"停止！  啊啊啊啊"
046:ON#0608,"洞"
046:ON#0609,"洞"
046:ON#0610,"洞"
046:ON#0611,"洞"
046:OC#0611,"我想我會遠離那裡^\255\001那條龍看起來很餓！"
046:EN#0046,"嗯，那沒有任何作用。"
046:LS#0201,"已經開放了。\255\001也許我應該嘗試關閉它。"
046:LS#0202,"讓我們先四處看看。"
046:LS#0204,"那是最後一個洞。\255\001現在，我們去找海切爾吧！"
046:LS#0205,"這似乎不是正確的草案。"
047:ON#0623,"天鵝"
047:OC#0623,"她的眼睛──就像我的一樣！"
047:OC#0623,"你的草稿對我沒有影響力，鮑賓。"
047:LS#0205,"欢迎，鲍宾！  你終於加入我們了！"
047:LS#0205,"我在哪裡？"
047:LS#0205,"你在模式之外。"
047:LS#0205,"死者和超凡者的家園。"
047:LS#0205,"\025奇蹟之岸？\025"
047:LS#0205,"是的，鮑賓。  奇蹟之岸。\255\001而你是第一個用凡人的眼睛看到它的人。"
047:LS#0205,"幹得好，鮑賓！你已經修復了\255\001主教的大部分惡作劇。"
047:LS#0205,"現在，也許你可以接近 Loom\255\001不會讓混沌先發現你。"
047:LS#0205,"太棒了，我的兒子！\255\001只剩下一個洞要封住了！"
047:LS#0205,"幹得好，鮑賓！一半的洞被封住了。\255\001但快點——現在很大程度上取決於你！"
047:LS#0205,"所有孔都必須密封\255\001在你敢於接近織機之前。"
047:LS#0207,"所有孔都必須密封\255\001在你敢於接近織機之前。"
047:LS#0207,"幹得好，鮑賓！你已經修復了\255\001主教的大部分惡作劇。"
047:LS#0207,"所有孔都必須密封\255\001在你敢於接近織機之前。"
047:SC#0100,"你的旅程還很漫長"
047:SC#0100,"你的旅程還很漫長"
047:SC#0100,"你一定有很多問題。"
047:SC#0100,"你是每年出現的天鵝\255\001我生日那天，你不是嗎？"
047:SC#0100,"那你就看清楚我了！我一直不确定。\255\001但那些訪問意義重大，是我見證你成長的唯一機會。"
047:SC#0100,"你看，長老們禁止我踏足\255\001你出生後不久就在盧姆島上。"
047:SC#0100,"我以為你是來看我的\255\001但我一直不太相信。"
047:SC#0100,"稱為^母親的好奇心。"
047:SC#0100,"事實上，織機之子，我就是這樣的人。"
